               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.013598,           0.0091696,            0.015282,             0.78706,             0.82237,             0.92276,             0.79197,           0.0058709,           0.0026526,           0.0072155,            0.006403,            0.006403,            0.006403
                 111,            0.014264,           0.0094129,            0.014378,             0.79896,              0.8198,             0.88728,             0.73181,           0.0059174,           0.0027583,            0.006422,             0.00637,             0.00637,             0.00637
                 112,            0.014457,           0.0096822,             0.01489,             0.89607,             0.88963,             0.94011,             0.83656,           0.0048562,           0.0026003,           0.0044518,            0.006337,            0.006337,            0.006337
                 113,            0.016266,           0.0095826,            0.016394,             0.87362,             0.90188,             0.98224,             0.89044,           0.0042006,           0.0022782,           0.0045395,            0.006304,            0.006304,            0.006304
                 114,             0.01218,           0.0097795,            0.011869,             0.90881,             0.92043,             0.97423,             0.84263,           0.0045047,           0.0025555,           0.0030794,            0.006271,            0.006271,            0.006271
                 115,            0.014059,            0.010045,            0.012657,             0.88942,             0.91239,             0.95978,             0.80472,           0.0048898,           0.0026803,            0.002738,            0.006238,            0.006238,            0.006238
                 116,            0.014259,           0.0091322,            0.015159,             0.86587,             0.91231,              0.9589,             0.83156,           0.0052784,           0.0028574,           0.0026188,            0.006205,            0.006205,            0.006205
                 117,            0.012215,           0.0095902,            0.011719,             0.89105,             0.84686,             0.95849,             0.80867,           0.0049204,           0.0025896,           0.0026855,            0.006172,            0.006172,            0.006172
                 118,            0.012556,           0.0089368,            0.010558,             0.90453,             0.82094,             0.93983,             0.84258,            0.005797,           0.0026613,           0.0046158,            0.006139,            0.006139,            0.006139
                 119,            0.014561,            0.009049,            0.011261,              0.8612,             0.85526,             0.93898,             0.81604,           0.0054133,           0.0026276,           0.0043888,            0.006106,            0.006106,            0.006106
                 120,            0.014674,           0.0093729,            0.014012,             0.86277,              0.9183,             0.96051,             0.85919,           0.0047598,           0.0023643,           0.0033197,            0.006073,            0.006073,            0.006073
                 121,            0.014974,             0.00953,           0.0092487,             0.90586,             0.92284,             0.97004,             0.88284,            0.005269,           0.0022203,           0.0027323,             0.00604,             0.00604,             0.00604
                 122,            0.012347,           0.0095737,           0.0099018,             0.96898,             0.92733,             0.98457,             0.87527,           0.0046516,            0.002167,           0.0021963,            0.006007,            0.006007,            0.006007
                 123,            0.011796,           0.0089607,           0.0095894,             0.80191,             0.90495,             0.94343,             0.84469,           0.0043095,            0.002372,           0.0058212,            0.005974,            0.005974,            0.005974
                 124,            0.014054,           0.0089914,            0.012809,             0.91431,             0.86259,             0.97119,             0.83443,            0.004424,             0.00266,           0.0050335,            0.005941,            0.005941,            0.005941
                 125,            0.011347,           0.0091509,           0.0096366,             0.86676,              0.9203,             0.97805,             0.83437,            0.004504,           0.0028029,           0.0040331,            0.005908,            0.005908,            0.005908
                 126,            0.011204,           0.0088285,            0.010356,              0.9254,             0.89016,             0.97083,             0.87771,           0.0044045,           0.0025006,           0.0032101,            0.005875,            0.005875,            0.005875
                 127,            0.011637,           0.0091129,            0.010176,              0.9254,             0.93755,             0.97064,             0.82171,           0.0048656,           0.0023712,           0.0023661,            0.005842,            0.005842,            0.005842
                 128,            0.010728,           0.0088808,           0.0093966,             0.88905,             0.95084,             0.98604,             0.86237,           0.0042052,           0.0022764,           0.0025706,            0.005809,            0.005809,            0.005809
                 129,            0.011023,           0.0087506,           0.0093005,             0.90954,             0.92143,             0.96858,             0.86994,           0.0042415,            0.002349,           0.0030146,            0.005776,            0.005776,            0.005776
                 130,            0.014307,           0.0092017,            0.011928,             0.83487,             0.92304,             0.95344,             0.87439,           0.0046629,           0.0025302,           0.0036449,            0.005743,            0.005743,            0.005743
                 131,            0.011762,           0.0094283,            0.010507,             0.94434,             0.92541,             0.98433,             0.83405,           0.0047631,           0.0028287,           0.0022821,             0.00571,             0.00571,             0.00571
                 132,            0.013869,           0.0091852,             0.01071,             0.94669,             0.94646,             0.98187,             0.84876,            0.004593,           0.0026338,           0.0022388,            0.005677,            0.005677,            0.005677
                 133,            0.012248,           0.0091438,            0.010419,             0.92916,             0.88174,             0.97674,             0.82967,           0.0049604,           0.0025276,           0.0031033,            0.005644,            0.005644,            0.005644
                 134,            0.011013,           0.0090227,           0.0098753,             0.92656,             0.96321,             0.98984,             0.86523,           0.0051593,           0.0027561,           0.0031395,            0.005611,            0.005611,            0.005611
                 135,            0.011519,           0.0086844,           0.0092647,             0.89503,             0.82874,             0.96163,             0.84327,           0.0047145,           0.0024882,           0.0050201,            0.005578,            0.005578,            0.005578
                 136,            0.011688,           0.0084476,            0.011259,             0.93648,             0.89715,             0.97304,             0.86202,           0.0046531,           0.0024969,            0.003231,            0.005545,            0.005545,            0.005545
                 137,            0.012147,           0.0087795,            0.010609,             0.87818,             0.91679,             0.96036,             0.86167,           0.0047567,           0.0025488,           0.0030556,            0.005512,            0.005512,            0.005512
                 138,            0.014396,           0.0089716,           0.0098765,             0.86862,             0.89611,             0.95162,             0.84948,           0.0050185,           0.0026266,            0.003006,            0.005479,            0.005479,            0.005479
